time,bytes,rate
1.219322000,409.0,335
2.259422000,46646,44847
3.260825000,35129,35079
4.261144000,94281,94250
5.301266000,55223,53092
6.331998000,86994,84400
7.341304000,43575,43173
8.381418000,31316,30108
9.381952000,87363,87316
10.382481000,90783,90735
11.422212000,41752,40156
12.453240000,88634,85966
13.453368000,49232,49225
14.462727000,40592,40215
15.463521000,93749,93674
16.503653000,37187,35752
17.504524000,67073,67014
18.505119000,102391,102330
19.534919000,35291,34269
20.535416000,91588,91542
21.544840000,32690,32384
22.575325000,81475,79064
23.584721000,32725,32420
24.624297000,23377,22487
25.625814000,138329,138119
26.627272000,131038,130847
27.659927000,152092,147282
28.661349000,102385,102239
29.661901000,93238,93186
30.664258000,131518,131208
31.664808000,86499,86451
32.666178000,120978,120812
33.697482000,111381,108000
34.697653000,78013,77999
35.698950000,119823,119667
36.708953000,75976,75223
37.740179000,123335,119600
38.740510000,89120,89090
39.741297000,98832,98754
40.742536000,117993,117846
41.742559000,73489,73487
42.743610000,117437,117313
43.775285000,105118,101890
44.815330000,67635,65030
45.818786000,128069,127627
46.858392000,37013,35602
47.858980000,89393,89340
48.860998000,49899,49798
49.861912000,47480,47436
50.862973000,106475,106362
51.863198000,76878,76860
52.864863000,119233,119034
53.894955000,58760,57043
54.904764000,55518,54978
55.905640000,102443,102353
56.906300000,92276,92215
57.908468000,138216,137916
58.939800000,102676,99556
59.979963000,66358,63795
60.980656000,109913,109836
61.980848000,66372,66359
62.982069000,109661,109527
64.022306000,69903,67199
65.062372000,69168,66503
66.095608000,121285,117383
67.096563000,76358,76285
68.098353000,119464,119250
69.098563000,63089,63075
70.099383000,103912,103826
71.101573000,70750,70595
72.102288000,62004,61959
73.103010000,110587,110507
74.103308000,85242,85216
75.134089000,107196,103994
76.136606000,68876,68703
77.138785000,52229,52115
78.139550000,105125,105044
79.139812000,59361,59345
80.173336000,105120,101710
81.184385000,90736,89744
82.187949000,58890,58680
83.188916000,117816,117702
84.218882000,51836,50327
85.219431000,94828,94775
86.221658000,60311,60176
87.224464000,83904,83669
88.226275000,137522,137273
89.256673000,33565,32574
90.258179000,114828,114655
91.258341000,45956,45948
92.268378000,48466,47984
93.294338000,105053,102394
94.304247000,48068,47596
95.304664000,78050,78017
96.337863000,60489,58545
97.347615000,50230,49744
98.379477000,153961,149206
99.380594000,24895,24867
100.380857000,78456,78435
101.420409000,33193,31930
102.421044000,90633,90575
103.451137000,67074,65114
104.460780000,34519,34189
105.461816000,87185,87094
106.501362000,29277,28163
107.532180000,84219,81701
108.542318000,83901,83058
109.542660000,66588,66565
110.582949000,42908,41246
111.613886000,104840,101693
112.614214000,77533,77507
113.615609000,118396,118231
114.615835000,77861,77843
115.627391000,82036,81098
116.628892000,112520,112351
117.652830000,61138,59708
118.653221000,51129,51109
119.664891000,141153,139524
120.694950000,67867,65886
121.695673000,102759,102684
122.735832000,47794,45948
123.736714000,98103,98016
124.776861000,48877,46990
125.816718000,52809,50784
126.827359000,104019,102923
127.867141000,47771,45943
128.891056000,102545,100149
129.900761000,53468,52954
130.940858000,52541,50515
131.941707000,108538,108445
132.941961000,73558,73539
133.942746000,103264,103183
134.973718000,74893,72643
135.973823000,69698,69690
136.975881000,130163,129895
137.975926000,74058,74054
138.988254000,146039,144260
140.012716000,110634,107992
141.013784000,106582,106468
142.015508000,129757,129533
143.015579000,67924,67919
144.016325000,97478,97405
145.026334000,57119,56552
146.056635000,54513,52909
147.057401000,112301,112215
148.058047000,60725,60685
149.058837000,99779,99700
150.098830000,37709,36258
151.108295000,39678,39305
152.139488000,103761,100622
153.179487000,62827,60410
154.180715000,85833,85727
155.220939000,38064,36592
156.221628000,32518,32495
157.222621000,104922,104817
158.223836000,106745,106615
159.226505000,97267,97008
160.257340000,85461,82904
161.259060000,138488,138250
162.259966000,103436,103342
163.261917000,153249,152950
164.263265000,119608,119446
165.265126000,71585,71452
166.296980000,104945,101705
167.300688000,45964,45794
168.300865000,100462,100444
169.335481000,49839,48171
170.345309000,52814,52299
171.347644000,109248,108993
172.377606000,53963,52393
173.378058000,92819,92777
174.418314000,49212,47307
