|Time (s)|Event|Eff.Win. (MSS)|cwnd (MSS)|RTT (s)|sRTT (s)|TOut (s)
|--------|-----|--------------|----------|-------|--------|-------|
39.25|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
40.26|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
40.25|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
41.23|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
41.31|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
42.22|TimeOut: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
42.27|Sent Retrans: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
43.20|TimeOut: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
43.27|Sent Retrans: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
44.11|TimeOut: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
44.19|TimeOut: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
44.24|Sent Retrans: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
45.13|Sent Retrans: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
45.22|Sent Retrans: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
45.27|TimeOut: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
46.31|TimeOut: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
46.34|Sent Retrans: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
47.34|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
47.35|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
48.30|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
48.38|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
49.31|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
49.32|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
50.30|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
50.35|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
51.34|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
51.37|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
52.32|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
52.40|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
53.32|TimeOut: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
53.37|Sent Retrans: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
54.30|TimeOut: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
54.35|Sent Retrans: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
55.18|TimeOut: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
55.27|TimeOut: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
55.35|Sent Retrans: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
56.21|Sent Retrans: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
56.30|Sent Retrans: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
56.38|TimeOut: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
57.38|TimeOut: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
57.41|Sent Retrans: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
58.41|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
58.42|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
59.36|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
59.46|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
60.40|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
60.43|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
61.39|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
61.44|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
62.43|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
62.46|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
63.42|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
63.48|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
64.41|TimeOut: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
64.46|Sent Retrans: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
65.40|TimeOut: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
65.45|Sent Retrans: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
66.25|TimeOut: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
66.36|TimeOut: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
66.45|Sent Retrans: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
67.29|Sent Retrans: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
67.40|Sent Retrans: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
67.45|TimeOut: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
68.45|TimeOut: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
68.49|Sent Retrans: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
69.50|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
69.51|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
70.49|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
70.54|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
71.50|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
71.54|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
72.48|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
72.54|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
73.53|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
73.54|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
74.50|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
74.56|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
75.50|TimeOut: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
75.56|Sent Retrans: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
76.50|TimeOut: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
76.55|Sent Retrans: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
77.35|TimeOut: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
77.44|TimeOut: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
77.55|Sent Retrans: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
78.39|Sent Retrans: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
78.48|Sent Retrans: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
78.53|TimeOut: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
79.52|TimeOut: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
79.57|Sent Retrans: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
80.57|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
80.59|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
81.59|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
81.62|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
82.58|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
82.62|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
83.55|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
83.62|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
84.59|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
84.62|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
85.60|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
85.66|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
86.60|TimeOut: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
86.62|Sent Retrans: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
87.60|TimeOut: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
87.65|Sent Retrans: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
88.46|TimeOut: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
88.53|TimeOut: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
88.63|Sent Retrans: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
89.51|Sent Retrans: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
89.57|Sent Retrans: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
89.63|TimeOut: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
90.61|TimeOut: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
90.67|Sent Retrans: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
91.66|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
91.65|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
92.66|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
92.72|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
93.67|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
93.72|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
94.64|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
94.71|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
95.68|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
95.70|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
96.70|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
96.72|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
97.69|TimeOut: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
97.73|Sent Retrans: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
98.69|TimeOut: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
98.73|Sent Retrans: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
99.56|TimeOut: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
99.63|TimeOut: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
99.73|Sent Retrans: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
100.61|Sent Retrans: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
100.67|Sent Retrans: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
100.72|TimeOut: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
101.72|TimeOut: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
101.73|Sent Retrans: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
102.76|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
102.77|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
103.78|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
103.83|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
104.76|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
104.83|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
105.73|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
105.81|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
106.77|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
106.79|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
107.79|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
107.83|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
108.79|TimeOut: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
108.85|Sent Retrans: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
109.78|TimeOut: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
109.84|Sent Retrans: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
110.66|TimeOut: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
110.74|TimeOut: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
110.83|Sent Retrans: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
111.70|Sent Retrans: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
111.77|Sent Retrans: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
111.78|TimeOut: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
