   3.33 M-V:  0.002 fd=   0 aq=    0KB vq=   33KB sq=    0B f=0/0   
   3.37 M-V:  0.002 fd=   0 aq=    0KB vq=   33KB sq=    0B f=0/0   
   3.40 M-V:  0.002 fd=   0 aq=    0KB vq=   41KB sq=    0B f=0/0   
   3.43 M-V:  0.002 fd=   0 aq=    0KB vq=   19KB sq=    0B f=0/0   
   3.46 M-V:  0.002 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   3.49 M-V:  0.002 fd=   0 aq=    0KB vq=   19KB sq=    0B f=0/0   
   3.52 M-V:  0.002 fd=   0 aq=    0KB vq=   19KB sq=    0B f=0/0   
   3.55 M-V:  0.002 fd=   0 aq=    0KB vq=   19KB sq=    0B f=0/0   
   3.58 M-V:  0.002 fd=   0 aq=    0KB vq=   28KB sq=    0B f=0/0   
   3.62 M-V:  0.002 fd=   0 aq=    0KB vq=   19KB sq=    0B f=0/0   
   3.65 M-V:  0.002 fd=   0 aq=    0KB vq=   19KB sq=    0B f=0/0   
   3.68 M-V:  0.002 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   3.71 M-V:  0.002 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   3.74 M-V:  0.002 fd=   0 aq=    0KB vq=   29KB sq=    0B f=0/0   
   3.77 M-V:  0.002 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   3.80 M-V:  0.002 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   3.83 M-V:  0.002 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   3.87 M-V:  0.002 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   3.90 M-V:  0.002 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   3.93 M-V:  0.002 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   3.96 M-V:  0.002 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   3.99 M-V:  0.002 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   4.02 M-V:  0.002 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   4.05 M-V:  0.002 fd=   0 aq=    0KB vq=   30KB sq=    0B f=0/0   
   4.09 M-V:  0.002 fd=   0 aq=    0KB vq=   31KB sq=    0B f=0/0   
   4.12 M-V:  0.002 fd=   0 aq=    0KB vq=   23KB sq=    0B f=0/0   
   4.15 M-V:  0.002 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   4.18 M-V:  0.002 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   4.21 M-V:  0.002 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   4.24 M-V:  0.002 fd=   0 aq=    0KB vq=   30KB sq=    0B f=0/0   
   4.27 M-V:  0.002 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   4.30 M-V:  0.002 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   4.33 M-V:  0.002 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   4.37 M-V:  0.002 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   4.40 M-V:  0.002 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   4.43 M-V:  0.002 fd=   0 aq=    0KB vq=   11KB sq=    0B f=0/0   
   4.46 M-V:  0.002 fd=   0 aq=    0KB vq=   11KB sq=    0B f=0/0   
   4.49 M-V:  0.002 fd=   0 aq=    0KB vq=   10KB sq=    0B f=0/0   
   4.52 M-V:  0.002 fd=   0 aq=    0KB vq=   37KB sq=    0B f=0/0   
   4.55 M-V:  0.002 fd=   0 aq=    0KB vq=   38KB sq=    0B f=0/0   
   4.58 M-V:  0.002 fd=   0 aq=    0KB vq=   38KB sq=    0B f=0/0   
   4.62 M-V:  0.002 fd=   0 aq=    0KB vq=   40KB sq=    0B f=0/0   
   4.65 M-V:  0.002 fd=   0 aq=    0KB vq=   40KB sq=    0B f=0/0   
   4.68 M-V:  0.002 fd=   0 aq=    0KB vq=   40KB sq=    0B f=0/0   
   4.71 M-V:  0.002 fd=   0 aq=    0KB vq=   40KB sq=    0B f=0/0   
   4.74 M-V:  0.002 fd=   0 aq=    0KB vq=   49KB sq=    0B f=0/0   
   4.77 M-V:  0.002 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   4.80 M-V:  0.002 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   4.83 M-V:  0.002 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   4.87 M-V:  0.003 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   4.90 M-V:  0.003 fd=   0 aq=    0KB vq=   30KB sq=    0B f=0/0   
   4.93 M-V:  0.002 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   4.96 M-V:  0.002 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   4.99 M-V:  0.003 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
